_id,Age,Driving_License,Region_Code,Previously_Insured,Annual_Premium,Policy_Sales_Channel,Vintage,Response
68b3ba1733a7772ba01e0b4c,28,1,8.0,0,45459.0,124.0,248,0
68b3ba1633a7772ba01be41c,51,1,28.0,1,68411.0,26.0,54,0
68b3ba1733a7772ba01c9e38,44,1,28.0,1,38346.0,122.0,102,0
68b3ba1633a7772ba01a043c,41,1,28.0,1,67251.0,26.0,291,0
68b3ba1633a7772ba01bd413,39,1,41.0,1,35058.0,124.0,251,0
68b3ba1733a7772ba01d105f,21,1,7.0,0,2630.0,152.0,216,0
68b3ba1633a7772ba01b6cef,23,1,49.0,1,19045.0,152.0,260,0
68b3ba1733a7772ba01e5753,25,1,37.0,1,2630.0,160.0,167,0
68b3ba1633a7772ba01b888c,24,1,43.0,0,27756.0,152.0,98,0
68b3ba1733a7772ba01e648d,22,1,39.0,1,41220.0,153.0,237,0
68b3ba1633a7772ba01bc654,32,1,29.0,1,39867.0,152.0,276,0
68b3ba1633a7772ba01c5b8f,22,1,30.0,1,34534.0,152.0,257,0
68b3ba1733a7772ba01ee997,30,1,12.0,1,21547.0,152.0,89,0
68b3ba1633a7772ba01ba3c0,47,1,28.0,1,39014.0,26.0,61,0
68b3ba1733a7772ba01edf0f,24,1,8.0,1,42177.0,160.0,17,0
68b3ba1733a7772ba01ca5bc,48,1,50.0,0,2630.0,124.0,145,0
68b3ba1733a7772ba01c97ef,74,1,17.0,1,2630.0,26.0,222,0
68b3ba1733a7772ba01ca51c,22,1,30.0,1,20817.0,152.0,30,0
68b3ba1633a7772ba01a4fd3,24,1,8.0,1,2630.0,152.0,156,0
68b3ba1633a7772ba01b628a,33,1,28.0,0,36851.0,124.0,32,1
68b3ba1633a7772ba019fea1,33,1,46.0,1,27599.0,124.0,10,0
68b3ba1633a7772ba01ac535,43,1,33.0,0,33450.0,26.0,285,0
68b3ba1733a7772ba01e3e2a,21,1,44.0,0,18955.0,152.0,163,0
68b3ba1633a7772ba01c3ae8,73,1,23.0,0,2630.0,156.0,143,0
68b3ba1733a7772ba01f94c8,39,1,28.0,0,29535.0,37.0,115,0
68b3ba1633a7772ba01a325a,36,1,45.0,0,2630.0,157.0,194,0
68b3ba1633a7772ba01ae529,40,1,8.0,1,64596.0,124.0,133,0
68b3ba1733a7772ba01d43bf,25,1,35.0,0,23876.0,160.0,12,0
68b3ba1633a7772ba01c52da,21,1,35.0,0,2630.0,163.0,135,0
68b3ba1733a7772ba01ef3b2,48,1,41.0,0,34664.0,12.0,91,1
68b3ba1733a7772ba01d21bb,23,1,15.0,1,32803.0,152.0,186,0
68b3ba1633a7772ba01a7fc9,22,1,3.0,1,32040.0,152.0,132,0
68b3ba1633a7772ba01aa91b,42,1,28.0,0,60515.0,26.0,85,0
68b3ba1633a7772ba01c2a6b,20,1,28.0,0,2630.0,156.0,151,0
68b3ba1733a7772ba01dd22c,22,1,18.0,1,24898.0,152.0,114,0
68b3ba1733a7772ba01e13bd,21,1,9.0,0,34564.0,160.0,272,0
68b3ba1733a7772ba01cc21e,31,1,30.0,0,2630.0,160.0,210,1
68b3ba1633a7772ba01ab798,43,1,50.0,0,27007.0,8.0,216,0
68b3ba1633a7772ba01a4719,24,1,33.0,0,27377.0,152.0,153,0
68b3ba1633a7772ba01b5717,26,1,15.0,1,32758.0,152.0,92,0
68b3ba1633a7772ba01a8626,37,1,35.0,0,2630.0,156.0,279,1
